cost_yr,median_income,affordability_ratio,ave_fam_size
7508,23777,0.3157795,3.34
7508,38508,0.19498,3.34
7508,26192,0.2866635,3.34
7508,22858,0.3284754,3.34
7508,36737,0.2043795,3.34
7508,38641,0.1943089,3.34
7508,32866,0.2284516,3.34
7508,30439,0.2466668,3.34
7508,28184,0.2664026,3.34
7242,16063,0.4508574,3.21
7242,42048,0.1722347,3.21
7242,23858,0.3035511,3.21
7242,28917,0.2504452,3.21
7242,35238,0.2055203,3.21
7242,50497,0.1434169,3.21
7242,39591,0.1829235,3.21
7242,21205,0.341529,3.21
7242,31764,0.2279978,3.21
8821,48333,0.1825087,3.81
5813,33500,0.1735126,2.58
5813,27448,0.2117703,2.58
5813,6588,0.8823121,2.58
5813,27118,0.2143474,2.58
6755,35302,0.1913537,2.99
6755,27159,0.2487267,2.99
6755,8347,0.8092929,2.99
6755,18042,0.3744135,2.99
6755,21732,0.3108397,2.99
6755,10275,0.6574373,2.99
6755,20840,0.3241443,2.99
7030,37897,0.185505,3.09
7030,25347,0.2773536,3.09
7030,35795,0.1963984,3.09
8130,14208,0.5722254,3.62
8130,26625,0.3053588,3.62
8130,17656,0.4604768,3.62
7051,38864,0.1814266,3.1
7051,53507,0.1317765,3.1
7051,27901,0.2527136,3.1
7051,26237,0.2687412,3.1
7051,25625,0.2751595,3.1
7051,50542,0.139507,3.1
7051,30625,0.2302355,3.1
7051,27875,0.2529493,3.1
7051,36453,0.1934261,3.1
7438,21406,0.3474844,3.35
7438,7500,0.9917667,3.35
7438,18897,0.3936207,3.35
6732,55714,0.1208365,2.92
6732,46628,0.1443829,2.92
6732,17390,0.3871355,2.92
6732,40127,0.1677745,2.92
6732,41406,0.162592,2.92
6732,35514,0.1895671,2.92
7878,35347,0.2228641,3.55
7878,26707,0.294963,3.55
7878,17664,0.4459678,3.55
7878,16765,0.4698822,3.55
7878,48750,0.1615913,3.55
7878,30087,0.2618266,3.55
7878,21439,0.3674414,3.55
7878,14722,0.5350887,3.55
7878,19441,0.4052042,3.55
6700,11310,0.5923769,2.98
6700,21250,0.3152839,2.98
6700,47279,0.1417074,2.98
6700,19348,0.3462778,2.98
6439,36295,0.1774063,2.9
6439,16034,0.4015818,2.9
6439,32895,0.1957429,2.9
6439,36321,0.1772793,2.9
6439,38281,0.1682026,2.9
6439,20894,0.3081728,2.9
6439,19107,0.3369949,2.9
6439,22921,0.2809198,2.9
7855,29167,0.2692975,3.52
7855,10156,0.773395,3.52
7855,55417,0.1417363,3.52
7855,19326,0.4064265,3.52
7855,22938,0.3424274,3.52
7855,19551,0.4017492,3.52
6995,32404,0.2158759,3.17
6995,12432,0.5626805,3.17
6995,30962,0.22593,3.17
6995,25769,0.2714597,3.17
7893,30365,0.2599451,3.58
7893,30000,0.2631078,3.58
7893,19302,0.4089335,3.58
7893,17694,0.4460967,3.58
7893,38750,0.2036964,3.58
7893,24239,0.3256419,3.58
7893,35921,0.2197387,3.58
7893,40577,0.1945248,3.58
7893,20254,0.3897124,3.58
8087,8750,0.9242276,3.67
8087,26000,0.3110381,3.67
8087,21588,0.3746059,3.67
8087,15906,0.508424,3.67
8087,21875,0.369691,3.67
8087,31188,0.2592982,3.67
8087,18434,0.4386998,3.67
6759,6793,0.9949487,3.09
6759,20990,0.3219955,3.09
6759,7416,0.9113655,3.09
6759,21285,0.3175328,3.09
6759,19471,0.3471155,3.09
5837,35813,0.162975,2.59
5837,6548,0.8913595,2.59
5837,9563,0.6103338,2.59
5837,31369,0.1860634,2.59
5837,20938,0.2787574,2.59
5837,19452,0.3000525,2.59
8056,11653,0.691351,3.45
8056,38410,0.2097452,3.45
8056,26970,0.2987139,3.45
8056,22624,0.3560959,3.45
8056,40625,0.1983093,3.45
8056,43749,0.1841485,3.45
8056,38313,0.2102762,3.45
8056,35606,0.2262628,3.45
8056,26854,0.3000042,3.45
8850,30813,0.2872292,4
8850,38289,0.2311472,4
8850,17213,0.5141691,4
8850,35221,0.2512817,4
8850,18523,0.4778056,4
8850,21473,0.4121638,4
6382,65500,0.0974275,2.77
6382,21829,0.2923405,2.77
6382,25045,0.2548014,2.77
6382,60861,0.1048537,2.77
6382,9659,0.6606792,2.77
6382,48356,0.1319691,2.77
5316,13598,0.3909176,2.43
5316,12846,0.4138017,2.43
6815,26898,0.2533528,3.05
6815,20625,0.3304089,3.05
6815,17500,0.3894104,3.05
6815,23457,0.2905181,3.05
6815,6146,1.1087996,3.05
6815,22298,0.3056186,3.05
7841,9931,0.7895735,3.57
7841,32702,0.239779,3.57
7841,14800,0.5298145,3.57
7841,18147,0.4320965,3.57
7841,18374,0.4267582,3.57
7841,11477,0.6832146,3.57
7841,17523,0.4474836,3.57
7299,22500,0.3244135,3.19
7299,17742,0.4114138,3.19
7299,17823,0.4095441,3.19
10370,51477,0.20145,4.4
10370,43146,0.2403477,4.4
10370,44604,0.2324913,4.4
7831,22404,0.3495323,3.52
7831,49241,0.1590325,3.52
7831,31500,0.2486007,3.52
7831,22607,0.3463936,3.52
7831,41501,0.1886923,3.52
7831,57596,0.1359629,3.52
7831,27212,0.2877745,3.52
6750,100625,0.0670793,2.93
6750,21603,0.3124498,2.93
6750,26000,0.2596097,2.93
6750,36000,0.1874959,2.93
6750,48359,0.139578,2.93
6750,33401,0.2020854,2.93
6352,13208,0.4809466,2.76
6352,8885,0.7149513,2.76
6352,38539,0.1648289,2.76
6352,36816,0.172543,2.76
7761,39189,0.1980319,3.3
7761,37899,0.2047725,3.3
7761,39406,0.1969414,3.3
7761,28658,0.270803,3.3
7761,41417,0.1873789,3.3
7761,50408,0.1539572,3.3
7761,45457,0.1707256,3.3
7761,40456,0.1918299,3.3
