race_eth_code,median_income,affordability_ratio,ave_fam_size
1,23777.0,0.3157795,3.34
1,38508.0,0.19498,3.34
1,26192.0,0.2866635,3.34
1,22858.0,0.3284754,3.34
1,36737.0,0.2043795,3.34
2,38641.0,0.1943089,3.34
1,32866.0,0.2284516,3.34
1,30439.0,0.2466668,3.34
1,28184.0,0.2664026,3.34
1,16063.0,0.4508574,3.21
1,42048.0,0.1722347,3.21
1,23858.0,0.3035511,3.21
1,28917.0,0.2504452,3.21
1,35238.0,0.2055203,3.21
2,50497.0,0.1434169,3.21
1,39591.0,0.1829235,3.21
1,21205.0,0.341529,3.21
1,31764.0,0.2279978,3.21
1,48333.0,0.1825087,3.81
1,33500.0,0.1735126,2.58
2,27448.0,0.2117703,2.58
1,6588.0,0.8823121,2.58
1,27118.0,0.2143474,2.58
1,35302.0,0.1913537,2.99
1,27159.0,0.2487267,2.99
1,8347.0,0.8092929,2.99
1,18042.0,0.3744135,2.99
2,21732.0,0.3108397,2.99
1,10275.0,0.6574373,2.99
1,20840.0,0.3241443,2.99
2,37897.0,0.185505,3.09
1,25347.0,0.2773536,3.09
1,35795.0,0.1963984,3.09
1,14208.0,0.5722254,3.62
2,26625.0,0.3053588,3.62
1,17656.0,0.4604768,3.62
1,38864.0,0.1814266,3.1
1,53507.0,0.1317765,3.1
1,27901.0,0.2527136,3.1
1,26237.0,0.2687412,3.1
1,25625.0,0.2751595,3.1
2,50542.0,0.139507,3.1
1,30625.0,0.2302355,3.1
1,27875.0,0.2529493,3.1
1,36453.0,0.1934261,3.1
2,21406.0,0.3474844,3.35
1,7500.0,0.9917667,3.35
1,18897.0,0.3936207,3.35
1,55714.0,0.1208365,2.92
1,46628.0,0.1443829,2.92
1,17390.0,0.3871355,2.92
2,40127.0,0.1677745,2.92
1,41406.0,0.162592,2.92
1,35514.0,0.1895671,2.92
1,35347.0,0.2228641,3.55
1,26707.0,0.294963,3.55
1,17664.0,0.4459678,3.55
1,16765.0,0.4698822,3.55
1,48750.0,0.1615913,3.55
2,30087.0,0.2618266,3.55
1,21439.0,0.3674414,3.55
1,14722.0,0.5350887,3.55
1,19441.0,0.4052042,3.55
1,11310.0,0.5923769,2.98
1,21250.0,0.3152839,2.98
2,47279.0,0.1417074,2.98
1,19348.0,0.3462778,2.98
1,36295.0,0.1774063,2.9
1,16034.0,0.4015818,2.9
1,32895.0,0.1957429,2.9
1,36321.0,0.1772793,2.9
1,38281.0,0.1682026,2.9
2,20894.0,0.3081728,2.9
1,19107.0,0.3369949,2.9
1,22921.0,0.2809198,2.9
1,29167.0,0.2692975,3.52
1,10156.0,0.773395,3.52
1,55417.0,0.1417363,3.52
1,19326.0,0.4064265,3.52
2,22938.0,0.3424274,3.52
1,19551.0,0.4017492,3.52
1,32404.0,0.2158759,3.17
1,12432.0,0.5626805,3.17
2,30962.0,0.22593,3.17
1,25769.0,0.2714597,3.17
1,30365.0,0.2599451,3.58
1,30000.0,0.2631078,3.58
1,19302.0,0.4089335,3.58
1,17694.0,0.4460967,3.58
1,38750.0,0.2036964,3.58
2,24239.0,0.3256419,3.58
1,35921.0,0.2197387,3.58
1,40577.0,0.1945248,3.58
1,20254.0,0.3897124,3.58
1,8750.0,0.9242276,3.67
1,26000.0,0.3110381,3.67
1,21588.0,0.3746059,3.67
1,15906.0,0.508424,3.67
2,21875.0,0.369691,3.67
1,31188.0,0.2592982,3.67
1,18434.0,0.4386998,3.67
1,6793.0,0.9949487,3.09
1,20990.0,0.3219955,3.09
1,7416.0,0.9113655,3.09
2,21285.0,0.3175328,3.09
1,19471.0,0.3471155,3.09
1,35813.0,0.162975,2.59
1,6548.0,0.8913595,2.59
1,9563.0,0.6103338,2.59
2,31369.0,0.1860634,2.59
1,20938.0,0.2787574,2.59
1,19452.0,0.3000525,2.59
1,11653.0,0.691351,3.45
1,38410.0,0.2097452,3.45
1,26970.0,0.2987139,3.45
1,22624.0,0.3560959,3.45
1,40625.0,0.1983093,3.45
2,43749.0,0.1841485,3.45
1,38313.0,0.2102762,3.45
1,35606.0,0.2262628,3.45
1,26854.0,0.3000042,3.45
1,30813.0,0.2872292,4.0
1,38289.0,0.2311472,4.0
1,17213.0,0.5141691,4.0
2,35221.0,0.2512817,4.0
1,18523.0,0.4778056,4.0
1,21473.0,0.4121638,4.0
1,65500.0,0.0974275,2.77
1,21829.0,0.2923405,2.77
1,25045.0,0.2548014,2.77
2,60861.0,0.1048537,2.77
1,9659.0,0.6606792,2.77
1,48356.0,0.1319691,2.77
2,13598.0,0.3909176,2.43
1,12846.0,0.4138017,2.43
1,26898.0,0.2533528,3.05
1,20625.0,0.3304089,3.05
1,17500.0,0.3894104,3.05
2,23457.0,0.2905181,3.05
1,6146.0,1.1087996,3.05
1,22298.0,0.3056186,3.05
1,9931.0,0.7895735,3.57
1,32702.0,0.239779,3.57
1,14800.0,0.5298145,3.57
1,18147.0,0.4320965,3.57
2,18374.0,0.4267582,3.57
1,11477.0,0.6832146,3.57
1,17523.0,0.4474836,3.57
1,22500.0,0.3244135,3.19
2,17742.0,0.4114138,3.19
1,17823.0,0.4095441,3.19
1,51477.0,0.20145,4.4
2,43146.0,0.2403477,4.4
1,44604.0,0.2324913,4.4
1,22404.0,0.3495323,3.52
1,49241.0,0.1590325,3.52
1,31500.0,0.2486007,3.52
1,22607.0,0.3463936,3.52
2,41501.0,0.1886923,3.52
1,57596.0,0.1359629,3.52
1,27212.0,0.2877745,3.52
1,100625.0,0.0670793,2.93
1,21603.0,0.3124498,2.93
1,26000.0,0.2596097,2.93
2,36000.0,0.1874959,2.93
1,48359.0,0.139578,2.93
1,33401.0,0.2020854,2.93
1,13208.0,0.4809466,2.76
1,8885.0,0.7149513,2.76
2,38539.0,0.1648289,2.76
1,36816.0,0.172543,2.76
1,39189.0,0.1980319,3.3
1,37899.0,0.2047725,3.3
1,39406.0,0.1969414,3.3
1,28658.0,0.270803,3.3
1,41417.0,0.1873789,3.3
2,50408.0,0.1539572,3.3
1,45457.0,0.1707256,3.3
1,40456.0,0.1918299,3.3
1,38134.0,0.2035106,3.3
1,65294.0,0.0964065,2.78
